_id,CODIGO,DENOMINACION_GENERICA_ES,DENOMINACION_GENERICA_VAL,DENOMINACION_ESPECIFICA,DENOMINACION,REGIMEN,TIPO_VIA,DIRECCION,NUMERO,CODIGO_POSTAL,LOCALIDAD,PROVINCIA,TELEFONO,FAX,COD_EDIFICACION,LONGITUD,LATITUD,TITULARIDAD,CIF,COMARCA,URL_ES,URL_VA
19,3000497,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT SAN VICENTE DE PAÚL,CENTRE PRIVAT SAN VICENTE DE PAÚL,PRIV. CONC.,CARRER,LA MILAGROSA,1,3802,ALCOI,ALICANTE/ALACANT,965331878,965332748,1,-0.487953,38.697443,PRIVADA.,G98949498,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000497,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000497
20,3000503,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT SANTA ANA,CENTRE PRIVAT SANTA ANA,PRIV. CONC.,CARRER,ISABEL II,5,3802,ALCOI,ALICANTE/ALACANT,965332228,965330670,1,-0.481188,38.693344,PRIVADA.,R0300396I,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000503,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000503
21,3000588,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CEIP SANTÍSIMO CRISTO BUEN ACIERTO,CEIP SANTÍSIMO CRISTO BUEN ACIERTO,PÚB.,CARRER,CAMÍ DE LA MAR,21,3580,ALFÀS DEL PI (L'),ALICANTE/ALACANT,966870740,,1,-0.097102,38.57893,GENERALITAT VALENCIANA,Q5355160B,LA MARINA BAIXA,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000588,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000588
22,3000591,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CEIP MIGUEL DE CERVANTES,CEIP MIGUEL DE CERVANTES,PÚB.,CARRER,MIGUEL HERNÁNDEZ,1-3,3169,ALGORFA,ALICANTE/ALACANT,965290135,,1,-0.795148,38.08596,GENERALITAT VALENCIANA,Q5355159D,EL BAIX SEGURA/LA VEGA BAJA,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000591,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000591
23,3000606,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CEIP VIRGEN DEL REMEDIO,CEIP VIRGEN DEL REMEDIO,PÚB.,PASSEIG,DE LA LIBERTAD,S/N,3668,ALGUEÑA,ALICANTE/ALACANT,966957345,,1,-1.00539,38.337071,GENERALITAT VALENCIANA,Q5355158F,EL VINALOPÓ MITJÀ/EL VINALOPÓ MEDIO,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000606,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000606
24,3000679,INSTITUTO DE EDUCACIÓN SECUNDARIA,INSTITUT D'EDUCACIÓ SECUNDÀRIA,IES JAIME II,IES JAIME II,PÚB.,CARRER,DOCTOR CRISTÓBAL PARDO,4,3015,ALACANT,ALICANTE/ALACANT,965936465,,1,-0.470363,38.362228,GENERALITAT VALENCIANA,Q5355572H,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000679,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000679
25,3000692,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CEIP EUSEBIO SEMPERE,CEIP EUSEBIO SEMPERE,PÚB.,CARRER,ISIDORO DE SEVILLA,2,3009,ALACANT,ALICANTE/ALACANT,965936210,,1,-0.503569,38.370572,GENERALITAT VALENCIANA,Q5355577G,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000692,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000692
26,3000709,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CEIP MANJÓN-CERVANTES,CEIP MANJÓN-CERVANTES,PÚB.,CARRER,MONTERO RÍOS,2,3012,ALACANT,ALICANTE/ALACANT,965932515,,1,-0.482196,38.35745,GENERALITAT VALENCIANA,Q5355010I,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000709,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000709
27,3000710,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CEIP SAN ROQUE,CEIP SAN ROQUE,PÚB.,CARRER,VILLAVIEJA,S/N,3002,ALACANT,ALICANTE/ALACANT,965937045,,1,-0.47826,38.346721,GENERALITAT VALENCIANA,Q5355542A,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000710,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000710
28,3000722,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CEIP 9 D'OCTUBRE,CEIP 9 D'OCTUBRE,PÚB.,CARRER,PINOSO,27,3012,ALACANT,ALICANTE/ALACANT,965919020,,1,-0.480952,38.359595,GENERALITAT VALENCIANA,Q5355187E,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000722,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000722
29,3000734,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CEIP BENALÚA,CEIP BENALÚA,PÚB.,CARRER,DOCTOR JUST,70,3007,ALACANT,ALICANTE/ALACANT,965919040,,1,-0.497166,38.338719,GENERALITAT VALENCIANA,Q5355053I,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000734,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000734
30,3000758,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT NUESTRA SEÑORA DE LOS ÁNGELES,CENTRE PRIVAT NUESTRA SEÑORA DE LOS ÁNGELES,PRIV. CONC.,CARRER,PARDO BAZÁN,8,3010,ALACANT,ALICANTE/ALACANT,965170417,965170417,1,-0.494949,38.366174,PRIVADA.,R0300113H,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000758,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000758
31,3000813,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA,CENTRE PRIVAT VIRGEN DEL ROSARIO,CENTRE PRIVAT VIRGEN DEL ROSARIO,PRIV. CONC.,PLAÇA,FLORIDA-PORTAZGO,6,3006,ALACANT,ALICANTE/ALACANT,965110152,965106401,1,-0.509212,38.346276,PRIVADA.,R0300047H,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000813,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000813
32,3000849,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT INMACULADA,CENTRE PRIVAT INMACULADA,PRIV. CONC.,AVINGUDA,DE DÉNIA,98,3016,ALACANT,ALICANTE/ALACANT,965268144,965225113,1,-0.464536,38.361318,PRIVADA.,R0300028H,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000849,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000849
33,3000904,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT CEU JESÚS MARÍA,CENTRE PRIVAT CEU JESÚS MARÍA,PRIV. CONC.,CARRER,DEPORTISTA ALEJANDRA QUEREDA,15,3016,ALACANT,ALICANTE/ALACANT,965261400,965261533,1,-0.45383,38.371102,PRIVADA.,G28423275,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000904,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000904
34,3000931,CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,CENTRE PRIV. ED. INFANTIL CIUDAD INFANTIL SAN JORGE,CENTRE PRIV. ED. INFANTIL CIUDAD INFANTIL SAN JORGE,PRIV.,AVINGUDA,DEL DOCTOR RICO,15,3005,ALACANT,ALICANTE/ALACANT,965927661,965227547,1,-0.498204,38.35384,PRIVADA.,B53329322,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000931,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000931
35,3000965,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT MARÍA AUXILIADORA,CENTRE PRIVAT MARÍA AUXILIADORA,PRIV. CONC.,CARRER,ISLA DE CORFÚ,7,3005,ALACANT,ALICANTE/ALACANT,965921008,,1,-0.50756,38.357399,PRIVADA.,R0300324A,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000965,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000965
36,3000989,CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA,CENTRE PRIVAT D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA,CENTRE PRIVAT NAZARET,CENTRE PRIVAT NAZARET,PRIV. CONC.,CARRER,CALPE,S/N,3005,ALACANT,ALICANTE/ALACANT,965171815,965181150,1,-0.49811,38.359687,PRIVADA.,R0300035C,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000989,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000989
37,3001003,CENTRO DOCENTE PRIVADO EXTRANJERO,CENTRE DOCENT PRIVAT ESTRANGER,CENTRE ESTRANGER LYCÉE FRANÇAIS D'ALICANTE PIERRE DESCHAMPS,CENTRE ESTRANGER LYCÉE FRANÇAIS D'ALICANTE PIERRE DESCHAMPS,PRIV.,CAMÍ,DE MARCO,21,3560,CAMPELLO (EL),ALICANTE/ALACANT,965262508,965659938,1,-0.412695,38.401394,PRIVADA.,G0011458G,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03001003,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03001003
38,3001039,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT SANTA MARÍA DEL CARMEN,CENTRE PRIVAT SANTA MARÍA DEL CARMEN,PRIV. CONC.,CARRER,MADRE ELISEA OLIVER,2,3005,ALACANT,ALICANTE/ALACANT,965174767,965175040,1,-0.501422,38.36236,PRIVADA.,R0300287J,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03001039,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03001039
39,3001088,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT NUESTRA SEÑORA DEL REMEDIO,CENTRE PRIVAT NUESTRA SEÑORA DEL REMEDIO,PRIV. CONC.,PASSEIG,DE CAMPOAMOR,4,3010,ALACANT,ALICANTE/ALACANT,965246990,965257124,1,-0.486107,38.353432,PRIVADA.,G03104593,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03001088,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03001088
40,3001121,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT LA PURÍSIMA Y SAN FRANCISCO,CENTRE PRIVAT LA PURÍSIMA Y SAN FRANCISCO,PRIV. CONC.,CARRER,PADRE RECAREDO DE LOS RÍOS,53,3005,ALACANT,ALICANTE/ALACANT,965132519,965228215,1,-0.503515,38.348644,PRIVADA.,R0300277A,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03001121,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03001121
41,3001143,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT SAGRADA FAMILIA,CENTRE PRIVAT SAGRADA FAMILIA,PRIV. CONC.,CARRER,FRANCISCO CARRATALÁ CERNUDA,13,3010,ALACANT,ALICANTE/ALACANT,965252875,965240562,1,-0.486397,38.357197,PRIVADA.,R0300294F,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03001143,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03001143
42,3001167,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT SAGRADO CORAZÓN HH. MARISTAS,CENTRE PRIVAT SAGRADO CORAZÓN HH. MARISTAS,PRIV. CONC.,CARRER,ISLA DE CORFÚ,5,3005,ALACANT,ALICANTE/ALACANT,965130941,965126132,1,-0.506557,38.356923,PRIVADA.,R0300326F,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03001167,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03001167
43,3001179,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT SAGRADOS CORAZONES,CENTRE PRIVAT SAGRADOS CORAZONES,PRIV. CONC.,CAMÍ,CRUZ DE PIEDRA,21,3013,ALACANT,ALICANTE/ALACANT,965261728,965261728,1,-0.467901,38.360549,PRIVADA.,B03715455,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03001179,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03001179
44,3001180,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT SAN AGUSTÍN,CENTRE PRIVAT SAN AGUSTÍN,PRIV. CONC.,CARRER,PINTOR PEDRO CAMACHO,2,3015,ALACANT,ALICANTE/ALACANT,965156070,965150141,1,-0.476253,38.371573,PRIVADA.,R0300309B,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03001180,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03001180
